Name,discounted_price,actual_price,saving_percent,rating,reviews,brand,model,core,ssd,ssd_gb,has_valid_ssd
Lenovo ThinkPad E14 Intel Core Ultra 5 (8GB-512GB),244999,295000,17,,,lenovo,ThinkPad E14 Intel Core Ultra 5,Ultra 5,,,0
Lenovo ThinkPad E16 G1 15.6 Inches 13th Gen Core i5 (8GB - 512GB),237999,250000,5,,,lenovo,ThinkPad E16 G1 15.6 Inches 13th Gen Core i5,Core i5,,,0
Lenovo ThinkPad E14 G5 13th Gen Core i7 1355U (8GB-512GB),285999,310000,8,,,lenovo,ThinkPad E14 G5 13th Gen Core i7 1355U,Core i7,,,0
Lenovo IdeaPad Slim 5 2in1 Core i513420H (16GB-512GB) DOS,221999,250000,11,,,lenovo,IdeaPad Slim 5 2in1 Core i513420H  DOS,Core i513420,,,0
LENOVO LOQ 15 Ci5 12450HX,241999,279999,14,,,lenovo,LOQ 15 Ci5 12450HX,,,,0
LENOVO THINBOOK 16 13TH CI5 8GB/256GB 16INCH,166000,200000,17,,,lenovo,THINBOOK 16 13TH CI5 8GB/256GB 16INCH,,,,0
Lenovo Legion 5 Ci7-14650HX (16GB-1TB SSD) RTX 4050 6GB,381999,429999,11,,,lenovo,Legion 5 Ci7-14650HX  RTX 4050 6GB,,,,0
Lenovo Thinkbook 15 G2 15.6 Inches 11th Gen Core i7 DOS (8GB - 256GB),176999,249999,29,,,lenovo,Thinkbook 15 G2 15.6 Inches 11th Gen Core i7 DOS,Core i7,,,0
Lenovo Ideapad 3 15.6 Inches 11th Gen Core i7 DOS (8GB - 1TB),155999,184999,16,,,lenovo,Ideapad 3 15.6 Inches 11th Gen Core i7 DOS,Core i7,,,0
Lenovo IdeaPad Slim 3 Core i5 13th Gen,134999,174999,23,5,2,lenovo,IdeaPad Slim 3 Core i5 13th Gen,Core i5,,,0
Lenovo ThinkPad E16 Gen 2 - Intel Core Ultra 5 (8GB-512GB),243999,275000,11,,,lenovo,ThinkPad E16 Gen 2 - Intel Core Ultra 5,Ultra 5,,,0
Lenovo IdeaPad Slim 5 Ultra 5 125H (16GB-512GB) DOS,199999,224999,11,,,lenovo,IdeaPad Slim 5 Ultra 5 125H  DOS,Ultra 5,,,0
Lenovo Legion 5 16IAX10 Core Ultra 9-275HX (32GB-1TB SSD) RTX 5060 8GB,493999,550000,10,,,lenovo,Legion 5 16IAX10 Core Ultra 9-275HX  RTX 5060 8GB,Ultra 9,,,0
Lenovo Ideapad 5 13th Gen Core I7 DOS,198999,250000,20,,,lenovo,Ideapad 5 13th Gen Core I7 DOS,,,,0
Lenovo ThinkPad E14 G4 14 Inches 12th Gen Core i5 DOS (8GB - 512GB),229999,260000,12,,,lenovo,ThinkPad E14 G4 14 Inches 12th Gen Core i5 DOS,Core i5,,,0
Lenovo Thinkbook 14 14th Gen Core 7 8GB/512GB,225999,300000,25,,,lenovo,Thinkbook 14 14th Gen Core 7 8GB/512GB,,,,0
Lenovo ThinkbooK 14 13th Core i5,165488,200000,17,,,lenovo,ThinkbooK 14 13th Core i5,Core i5,,,0
Lenovo ThinkPad E14 G4 14 Inches 12th Gen Core i7 DOS (8GB - 512GB),230999,309999,25,,,lenovo,ThinkPad E14 G4 14 Inches 12th Gen Core i7 DOS,Core i7,,,0
Lenovo Thinkbook 15 G2 15.6 Inches 11th Gen Core i7 DOS (8GB - 1TB),202999,254999,20,,,lenovo,Thinkbook 15 G2 15.6 Inches 11th Gen Core i7 DOS,Core i7,,,0
Lenovo LOQ 15 Ryzen 5 7235HS (12GB-512GB SSD) RTX 4050 6GB,226999,255000,11,,,lenovo,LOQ 15 Ryzen 5 7235HS  RTX 4050 6GB,Ryzen 5,12GB-512GB SSD,12,1
Lenovo ThinkPad T14 G6 Ultra 7 225U (16GB-512GB SSD),414999,485000,14,,,lenovo,ThinkPad T14 G6 Ultra 7 225U,Ultra 7,16GB-512GB SSD,16,1
Lenovo ThinkPad E14 G8 U7-255H (16GB-512GB SSD),289999,350000,17,,,lenovo,ThinkPad E14 G8 U7-255H,,16GB-512GB SSD,16,1
Lenovo ThinkBook 16 G7 Ryzen 5-7533HS (16GB-512GB SSD),167999,200000,16,,,lenovo,ThinkBook 16 G7 Ryzen 5-7533HS,Ryzen 5,16GB-512GB SSD,16,1
Lenovo IdeaPad Slim 5 Core i5 13420H DOS (16GB-512GB SSD),176999,199999,12,,,lenovo,IdeaPad Slim 5 Core i5 13420H DOS,Core i5,16GB-512GB SSD,16,1
LENOVO THINKPAD T14 14TH GEN Intel Core Ultra 7 155U (16GB-512GB SSD),400999,420000,5,,,lenovo,THINKPAD T14 14TH GEN Intel Core Ultra 7 155U,Ultra 7,16GB-512GB SSD,16,1
Lenovo ThinkPad E16 G3 Ultra 7 255H (16GB-512GB SSD),293999,340000,14,,,lenovo,ThinkPad E16 G3 Ultra 7 255H,Ultra 7,16GB-512GB SSD,16,1
Lenovo IdeaPad Slim 5 Core i7 13620H DOS (16GB-512GB SSD),209999,229999,9,,,lenovo,IdeaPad Slim 5 Core i7 13620H DOS,Core i7,16GB-512GB SSD,16,1
LENOVO THINKPAD E14 G6 14TH Intel Core Ultra 7 155H (16GB-512GB SSD),283999,299999,5,,,lenovo,THINKPAD E14 G6 14TH Intel Core Ultra 7 155H,Ultra 7,16GB-512GB SSD,16,1
Lenovo ThinkBook16 Ultra 5 225U (16GB-512GB SSD),212999,230000,7,,,lenovo,ThinkBook16 Ultra 5 225U,Ultra 5,16GB-512GB SSD,16,1
Lenovo ThinkPad X1 Carbon G13 Ultra 7 256V (32GB-512GB SSD),659999,726000,9,,,lenovo,ThinkPad X1 Carbon G13 Ultra 7 256V,Ultra 7,32GB-512GB SSD,32,1
